AÑO,SEDE,FACULTAD,CARRERA,OBSERVACIONES
2019,SEDE 2,FACULTAD 1,LICENCIATURA 03,0
2019,SEDE 2,FACULTAD 1,LICENCIATURA 04,0
2019,SEDE 2,FACULTAD 2,LICENCIATURA 07,0
2019,SEDE 2,FACULTAD 3,INGENIERIA 15,0
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,0
2019,SEDE 3,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 3,FACULTAD 3,LICENCIATURA 11,0
2019,SEDE 6,FACULTAD 1,LICENCIATURA 03,0
2019,SEDE 6,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 6,FACULTAD 3,POSTGRADO 05,0
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,0
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,0
2019,SEDE 4,FACULTAD 1,LICENCIATURA 04,0
2019,SEDE 4,FACULTAD 3,LICENCIATURA 08,0
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,0
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,0
2019,SEDE 1,FACULTAD 6,INGENIERIA 27,0
2019,SEDE 1,FACULTAD 6,INGENIERIA 27,0
2019,SEDE 1,FACULTAD 1,LICENCIATURA 01,0
2019,SEDE 1,FACULTAD 1,INGENIERIA 04,0
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,0
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,0
2019,SEDE 1,FACULTAD 1,INGENIERIA 06,0
2019,SEDE 1,FACULTAD 1,INGENIERIA 06,0
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,0
2019,SEDE 1,FACULTAD 1,POSTGRADO 17,0
2019,SEDE 1,FACULTAD 1,POSTGRADO 17,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 24,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,0
2019,SEDE 1,FACULTAD 5,LICENCIATURA 23,0
2019,SEDE 1,FACULTAD 2,INGENIERIA 07,0
2019,SEDE 1,FACULTAD 2,INGENIERIA 08,0
2019,SEDE 1,FACULTAD 2,INGENIERIA 10,0
2019,SEDE 1,FACULTAD 2,LICENCIATURA 07,0
2019,SEDE 1,FACULTAD 2,POSTGRADO 20,0
2019,SEDE 1,FACULTAD 2,TÉCNICO 03,0
2019,SEDE 1,FACULTAD 2,TÉCNICO 03,0
2019,SEDE 1,FACULTAD 2,TÉCNICO 05,0
2019,SEDE 1,FACULTAD 2,TÉCNICO 05,0
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,0
2019,SEDE 1,FACULTAD 3,INGENIERIA 15,0
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,0
2019,SEDE 1,FACULTAD 3,LICENCIATURA 08,0
2019,SEDE 1,FACULTAD 3,LICENCIATURA 10,0
2019,SEDE 1,FACULTAD 3,LICENCIATURA 12,0
2019,SEDE 1,FACULTAD 3,POSTGRADO 38,0
2019,SEDE 1,FACULTAD 4,INGENIERIA 17,0
2019,SEDE 1,FACULTAD 4,INGENIERIA 18,0
2019,SEDE 1,FACULTAD 4,INGENIERIA 20,0
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,0
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,0
2019,SEDE 1,FACULTAD 4,LICENCIATURA 14,0
2019,SEDE 1,FACULTAD 4,LICENCIATURA 15,0
2019,SEDE 7,FACULTAD 1,LICENCIATURA 05,0
2019,SEDE 7,FACULTAD 1,LICENCIATURA 05,0
2019,SEDE 7,FACULTAD 2,LICENCIATURA 07,0
2019,SEDE 7,FACULTAD 3,LICENCIATURA 10,0
2019,SEDE 8,FACULTAD 5,LICENCIATURA 22,0
2019,SEDE 8,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 8,FACULTAD 5,INGENIERIA 25,0
2019,SEDE 8,FACULTAD 3,LICENCIATURA 08,0
2019,SEDE 8,FACULTAD 4,INGENIERIA 17,0
2019,SEDE 6,FACULTAD 5,INGENIERIA 25,0.1
2019,SEDE 2,FACULTAD 1,INGENIERIA 04,1
2019,SEDE 2,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 2,FACULTAD 5,LICENCIATURA 27,1
2019,SEDE 2,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 2,FACULTAD 2,INGENIERIA 13,1
2019,SEDE 2,FACULTAD 2,TÉCNICO 05,1
2019,SEDE 2,FACULTAD 3,INGENIERIA 15,1
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 3,FACULTAD 2,LICENCIATURA 07,1
2019,SEDE 3,FACULTAD 3,POSTGRADO 38,1
2019,SEDE 6,FACULTAD 1,INGENIERIA 01,1
