SEDE,FACULTAD,CARRERA,OBSERVACIONES,OBSERVACIONES,TEXTO_TOKEN,LEMMA,SENTIMIENTO,SCORE,TOPIC,name_topic
SEDE 1,FACULTAD 5,INGENIERIA 25, deberían modernizar los equipos utilizados en los laboratorios., deberían modernizar los equipos utilizados en los laboratorios.,"['deberían', 'modernizar', 'equipos', 'utilizados', 'laboratorios']","['deber', 'modernizar', 'equipo', 'utilizado', 'laboratorio']",Neutral,85.41%,4,laboratorio
SEDE 8,FACULTAD 1,INGENIERIA 01, no contamos con servicio de fotocopia.  El Wi-Fi no llega a ciertas aulas en donde muchas veces se necesita para trabajos que nos asignan., no contamos con servicio de fotocopia.  El Wi-Fi no llega a ciertas aulas en donde muchas veces se necesita para trabajos que nos asignan.,"['contamos', 'servicio', 'fotocopia', 'wifi', 'llega', 'ciertas', 'aulas', 'muchas', 'veces', 'necesita', 'trabajos', 'asignan']","['contar', 'servicio', 'fotocopio', 'wifi', 'llegar', 'aula', 'necesitar', 'trabajo', 'asignar']",Neutral,59.04%,4,laboratorio
SEDE 3,FACULTAD 5,LICENCIATURA 22,1 es el area de esparcimiento el cual no se cuenta con ningún área para poder ir.,1 es el area de esparcimiento el cual no se cuenta con ningún área para poder ir.,"['area', 'esparcimiento', 'cuenta', 'ningún', 'área', 'poder']","['areo', 'esparcimiento', 'área']",Neutral,42.69%,7,
SEDE 1,FACULTAD 5,INGENIERIA 23,"A mi grupo del salón, no se nos otorgó un salón dr laboratorio para las clases de dibujo asistido de computadora hasta el final del semestre a pesar de haber mandado anteriormente las quejas","A mi grupo del salón, no se nos otorgó un salón dr laboratorio para las clases de dibujo asistido de computadora hasta el final del semestre a pesar de haber mandado anteriormente las quejas","['grupo', 'salón', 'otorgó', 'salón', 'laboratorio', 'clases', 'dibujo', 'asistido', 'computadora', 'final', 'semestre', 'pesar', 'haber', 'mandado', 'anteriormente', 'quejas']","['grupo', 'salón', 'otorgar', 'salón', 'laboratorio', 'clás', 'dibujo', 'asistido', 'computadoro', 'semestre', 'mandar', 'anteriormente', 'queja']",Neutral,44.28%,0,
SEDE 7,FACULTAD 5,INGENIERIA 25,"A mí parecer es de buena ayuda, implementar más lugares de Esparcimiento y receso, debido a la Gran cantidad de estudiantes y que la gran mayoría a veces están en zonas donde el sol afecta demasiado","A mí parecer es de buena ayuda, implementar más lugares de Esparcimiento y receso, debido a la Gran cantidad de estudiantes y que la gran mayoría a veces están en zonas donde el sol afecta demasiado","['parecer', 'buena', 'ayuda', 'implementar', 'lugares', 'esparcimiento', 'receso', 'debido', 'gran', 'cantidad', 'estudiantes', 'gran', 'mayoría', 'veces', 'zonas', 'sol', 'afecta', 'demasiado']","['parecer', 'ayuda', 'implementar', 'lugar', 'esparcimiento', 'receso', 'cantidad', 'estudiant', 'mayoría', 'zona', 'sol', 'afectar']",Neutral,58.56%,6,
SEDE 8,FACULTAD 5,LICENCIATURA 22,A veces el uso del equipo provoca fallas en el circuito electrico,A veces el uso del equipo provoca fallas en el circuito electrico,"['veces', 'uso', 'equipo', 'provoca', 'fallas', 'circuito', 'electrico']","['equipo', 'provocar', 'falla', 'circuito', 'electrico']",Neutral,56.25%,4,laboratorio
SEDE 1,FACULTAD 3,INGENIERIA 16,A veces hay defisciencia en la velocidad del Internet,A veces hay defisciencia en la velocidad del Internet,"['veces', 'defisciencia', 'velocidad', 'internet']","['defiscienciar', 'velocidad', 'internet']",Neutral,37.50%,2,
SEDE 1,FACULTAD 5,LICENCIATURA 22,A veces lo equipos estan sin conectar a internet y se pierden equipo sin utilizar en los laboratorios,A veces lo equipos estan sin conectar a internet y se pierden equipo sin utilizar en los laboratorios,"['veces', 'equipos', 'estan', 'conectar', 'internet', 'pierden', 'equipo', 'utilizar', 'laboratorios']","['equipo', 'conectar', 'internet', 'perder', 'equipo', 'utilizar', 'laboratorio']",Neutral,64.30%,4,laboratorio
SEDE 1,FACULTAD 3,INGENIERIA 15,A veces los protectores tenían problemas durante clase,A veces los protectores tenían problemas durante clase,"['veces', 'protectores', 'problemas', 'clase']","['protector', 'problema', 'clase']",Neutral,40.77%,3,
SEDE 1,FACULTAD 5,INGENIERIA 23,A veces no encontré los textos necesarios en la librería física y/o virtual,A veces no encontré los textos necesarios en la librería física y/o virtual,"['veces', 'encontré', 'textos', 'necesarios', 'librería', 'física', 'virtual']","['encontrar', 'texto', 'necesario', 'libreer', 'físico', 'virtual']",Neutral,34.77%,6,
SEDE 1,FACULTAD 5,INGENIERIA 25,A veces no funciona bien el internet,A veces no funciona bien el internet,"['veces', 'funciona', 'bien', 'internet']","['funcionar', 'internet']",Neutral,70.82%,4,laboratorio
SEDE 6,FACULTAD 5,INGENIERIA 24,A veces no hay buena señal de internet,A veces no hay buena señal de internet,"['veces', 'buena', 'señal', 'internet']","['señal', 'internet']",Neutral,70.83%,5,wifi
SEDE 1,FACULTAD 2,INGENIERIA 08,A veces no hay suficiente equipo en los labs,A veces no hay suficiente equipo en los labs,"['veces', 'suficiente', 'equipo', 'labs']","['suficiente', 'equipo', 'labs']",Neutral,37.50%,6,
SEDE 1,FACULTAD 5,LICENCIATURA 23,A veces no tenemos los materiales suficientes para hacer los laboratorios,A veces no tenemos los materiales suficientes para hacer los laboratorios,"['veces', 'materiales', 'suficientes', 'hacer', 'laboratorios']","['material', 'suficiente', 'laboratorio']",Neutral,53.13%,4,laboratorio
SEDE 1,FACULTAD 5,INGENIERIA 25,a veces se cae el internet en la universidad,a veces se cae el internet en la universidad,"['veces', 'cae', 'internet', 'universidad']","['caer', 'internet', 'universidad']",Neutral,78.11%,5,wifi
SEDE 7,FACULTAD 5,LICENCIATURA 27,A veces teniamos problemas para ver lo que se estaba proyectando en el salon de clases,A veces teniamos problemas para ver lo que se estaba proyectando en el salon de clases,"['veces', 'teniamos', 'problemas', 'ver', 'proyectando', 'salon', 'clases']","['tener', 'problema', 'proyectar', 'salon', 'clase']",Neutral,44.19%,3,
SEDE 1,FACULTAD 4,INGENIERIA 21,Abastecer con equipos de laboratorio de acuerdo a la carrera.,Abastecer con equipos de laboratorio de acuerdo a la carrera.,"['abastecer', 'equipos', 'laboratorio', 'acuerdo', 'carrera']","['abastecer', 'equipo', 'laboratorio', 'carrera']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 3,INGENIERIA 15,"Abran las aulas más temprano para los que nos toca llegar super temprano a la u, o hagan un lugar para descansar","Abran las aulas más temprano para los que nos toca llegar super temprano a la u, o hagan un lugar para descansar","['abran', 'aulas', 'temprano', 'toca', 'llegar', 'super', 'temprano', 'hagan', 'lugar', 'descansar']","['abran', 'aula', 'tocar', 'llegar', 'super', 'hacer', 'lugar', 'descansar']",Neutral,39.72%,0,
SEDE 1,FACULTAD 4,LICENCIATURA 14,Abrir cafetería en la cede de Tocumen para los del turno de la noche,Abrir cafetería en la cede de Tocumen para los del turno de la noche,"['abrir', 'cafetería', 'cede', 'tocumen', 'turno', 'noche']","['abrir', 'cafetería', 'cede', 'tocumen', 'turno', 'noche']",Neutral,42.50%,0,
SEDE 1,FACULTAD 3,INGENIERIA 16,Abrir kiosco en edificio de aulas,Abrir kiosco en edificio de aulas,"['abrir', 'kiosco', 'edificio', 'aulas']","['abrir', 'kiosco', 'edificio', 'aula']",Neutral,52.95%,5,wifi
SEDE 1,FACULTAD 3,LICENCIATURA 09,Abrir la cafetería central por lo menos a las 6:00 para los estudiantes que llegan temprano y no se hagan largas filas,Abrir la cafetería central por lo menos a las 6:00 para los estudiantes que llegan temprano y no se hagan largas filas,"['abrir', 'cafetería', 'central', 'menos', 'estudiantes', 'llegan', 'temprano', 'hagan', 'largas', 'filas']","['abrir', 'cafetería', 'central', 'estudiante', 'llegar', 'hacer', 'larga', 'fila']",Neutral,39.50%,1,comida
SEDE 1,FACULTAD 1,INGENIERIA 05,abrir la clinica con insumnos basicos necesarios para el día a día.,abrir la clinica con insumnos basicos necesarios para el día a día.,"['abrir', 'clinica', 'insumnos', 'basicos', 'necesarios', 'día', 'día']","['abrir', 'clinica', 'insumno', 'basico', 'necesario']",Neutral,37.50%,2,
SEDE 1,FACULTAD 4,INGENIERIA 17,Abrir los edificios mas temprano,Abrir los edificios mas temprano,"['abrir', 'edificios', 'mas', 'temprano']","['abrir', 'edificio']",Neutral,37.50%,2,
SEDE 1,FACULTAD 3,POSTGRADO 23,Abrir maestría en docencia superior,Abrir maestría en docencia superior,"['abrir', 'maestría', 'docencia', 'superior']","['abrir', 'maestría', 'docencia', 'superior']",Neutral,37.50%,2,
SEDE 1,FACULTAD 5,LICENCIATURA 27,Abrir mas espacios para acceder a la u,Abrir mas espacios para acceder a la u,"['abrir', 'mas', 'espacios', 'acceder']","['abrir', 'espacio', 'acceder']",Neutral,53.11%,6,
SEDE 4,FACULTAD 4,LICENCIATURA 15,abrir un centro de foto copiado,abrir un centro de foto copiado,"['abrir', 'centro', 'foto', 'copiado']","['abrir', 'centro', 'foto', 'copiado']",Neutral,39.21%,7,
SEDE 6,FACULTAD 5,LICENCIATURA 22,Abrir un espacio mayor para estacionamiento,Abrir un espacio mayor para estacionamiento,"['abrir', 'espacio', 'mayor', 'estacionamiento']","['abrir', 'espacio', 'estacionamiento']",Neutral,53.12%,6,
SEDE 1,FACULTAD 4,LICENCIATURA 17,Abrir un gimnacio en la sede de Howard como en la de Tumba muerto ya que hay muchos salones libres,Abrir un gimnacio en la sede de Howard como en la de Tumba muerto ya que hay muchos salones libres,"['abrir', 'gimnacio', 'sede', 'howard', 'tumba', 'muerto', 'salones', 'libres']","['abrir', 'gimnacio', 'sede', 'howard', 'tumbo', 'muerto', 'salón', 'libre']",Neutral,59.56%,2,
SEDE 6,FACULTAD 1,INGENIERIA 01,Accesibilidad a una cancha para realizar eventos recreativos,Accesibilidad a una cancha para realizar eventos recreativos,"['accesibilidad', 'cancha', 'realizar', 'eventos', 'recreativos']","['accesibilidad', 'canchaber', 'evento', 'recreativo']",Neutral,56.25%,3,
SEDE 1,FACULTAD 1,INGENIERIA 06,Acceso a áreas de estudio hasta altas horas de la noche,Acceso a áreas de estudio hasta altas horas de la noche,"['acceso', 'áreas', 'estudio', 'altas', 'horas', 'noche']","['acceso', 'área', 'estudio', 'alto', 'hora', 'noche']",Neutral,45.16%,6,
SEDE 1,FACULTAD 4,LICENCIATURA 16,Acceso a estacionamientos techados en caso de lluvias,Acceso a estacionamientos techados en caso de lluvias,"['acceso', 'estacionamientos', 'techados', 'caso', 'lluvias']","['acceso', 'estacionamiento', 'techado', 'caso', 'lluvia']",Neutral,67.00%,6,
SEDE 6,FACULTAD 1,INGENIERIA 01,acelerar el proceso de mejoras en la universidad para ofrecer espacios de calida a los estudinates y administrativos,acelerar el proceso de mejoras en la universidad para ofrecer espacios de calida a los estudinates y administrativos,"['acelerar', 'proceso', 'mejoras', 'universidad', 'ofrecer', 'espacios', 'calida', 'estudinates', 'administrativos']","['acelerar', 'proceso', 'mejor', 'universidad', 'ofrecer', 'espacio', 'calido', 'estudinat', 'administrativo']",Neutral,87.48%,6,
SEDE 1,FACULTAD 1,INGENIERIA 01,Aceptar yappy en todas las cafeterías,Aceptar yappy en todas las cafeterías,"['aceptar', 'yappy', 'todas', 'cafeterías']","['aceptar', 'yappy', 'cafetería']",Neutral,50.24%,7,
SEDE 1,FACULTAD 5,LICENCIATURA 27,aclarar mejor los procesos academicos,aclarar mejor los procesos academicos,"['aclarar', 'mejor', 'procesos', 'academicos']","['aclarar', 'proceso', 'academico']",Neutral,70.82%,2,
