SEDE,FACULTAD,CARRERA,OBSERVACIONES,OBSERVACIONES,TEXTO_TOKEN,LEMMA,SENTIMIENTO,SCORE,TOPIC,name_topic
SEDE 1,FACULTAD 4,INGENIERIA 17,"---- en necesidad del remodelación interior, abrir mas entradas de estacionamientos (hay una que se construyo pero esta cerrada), mas puentes peatonales y reparar los artefactos de los baños.","---- en necesidad del remodelación interior, abrir mas entradas de estacionamientos (hay una que se construyo pero esta cerrada), mas puentes peatonales y reparar los artefactos de los baños.","['necesidad', 'remodelación', 'interior', 'abrir', 'mas', 'entradas', 'estacionamientos', 'construyo', 'cerrada', 'mas', 'puentes', 'peatonales', 'reparar', 'artefactos', 'baños']","['necesidad', 'remodelación', 'interior', 'abrir', 'entrada', 'estacionamiento', 'construyo', 'cerrado', 'puente', 'peatonal', 'reparar', 'artefacto', 'baño']",Positivo,82.49%,4,
SEDE 8,FACULTAD 3,INGENIERIA 15," WiFi no es suficiente, implementar un WiFi con mayor capacidad de banda ancha y mayores velocidades sería oportuno."," WiFi no es suficiente, implementar un WiFi con mayor capacidad de banda ancha y mayores velocidades sería oportuno.","['wifi', 'suficiente', 'implementar', 'wifi', 'mayor', 'capacidad', 'banda', 'ancha', 'mayores', 'velocidades', 'oportuno']","['wifi', 'suficiente', 'implementar', 'wifi', 'capacidad', 'bando', 'ancho', 'mayor', 'velocidad', 'oportuno']",Positivo,49.43%,3,wifi
SEDE 6,FACULTAD 1,LICENCIATURA 04,",mejoramiento en la calidad de la internet y el acceso a mas amplios dentro de las instalaciones.",",mejoramiento en la calidad de la internet y el acceso a mas amplios dentro de las instalaciones.","['mejoramiento', 'calidad', 'internet', 'acceso', 'mas', 'amplios', 'dentro', 'instalaciones']","['mejoramiento', 'calidad', 'internet', 'acceso', 'amplio', 'instalación']",Positivo,38.93%,7,acceso
SEDE 3,FACULTAD 1,LICENCIATURA 04,"1- Mejora en el área de informática, con la disponibilidad de un laboratorio más espacioso.","1- Mejora en el área de informática, con la disponibilidad de un laboratorio más espacioso.","['mejora', 'área', 'informática', 'disponibilidad', 'laboratorio', 'espacioso']","['mejora', 'áreo', 'informáticar', 'disponibilidad', 'laboratorio', 'espacioso']",Positivo,58.32%,0,variedad
SEDE 7,FACULTAD 2,INGENIERIA 08,24- Modernidad en los equipos e instrumentos en los laboratorios y talleres: muchos de los instrumentos no están acorde con la lo que vende en el mercado actualmente.,24- Modernidad en los equipos e instrumentos en los laboratorios y talleres: muchos de los instrumentos no están acorde con la lo que vende en el mercado actualmente.,"['modernidad', 'equipos', 'instrumentos', 'laboratorios', 'talleres', 'instrumentos', 'acorde', 'vende', 'mercado', 'actualmente']","['modernidad', 'equipo', 'instrumento', 'laboratorio', 'taller', 'instrumento', 'acorde', 'vender', 'mercado', 'actualmente']",Positivo,78.12%,1,laboratorio
SEDE 1,FACULTAD 5,INGENIERIA 25,28. Problemas al conectar los equipos en ciertos salones.,28. Problemas al conectar los equipos en ciertos salones.,"['problemas', 'conectar', 'equipos', 'ciertos', 'salones']","['problema', 'conectar', 'equipo', 'salón']",Positivo,51.55%,3,wifi
SEDE 7,FACULTAD 2,INGENIERIA 08,"29- Calidad de las instalaciones y edificios: muchos de los salones del CRPO necesitan mejoras en el área de acondicionamiento, espacio y ventilación.","29- Calidad de las instalaciones y edificios: muchos de los salones del CRPO necesitan mejoras en el área de acondicionamiento, espacio y ventilación.","['calidad', 'instalaciones', 'edificios', 'salones', 'crpo', 'necesitan', 'mejoras', 'área', 'acondicionamiento', 'espacio', 'ventilación']","['calidad', 'instalación', 'edificio', 'salón', 'crpo', 'necesitar', 'mejora', 'área', 'acondicionamiento', 'espacio', 'ventilación']",Positivo,41.61%,4,
SEDE 1,FACULTAD 1,INGENIERIA 01,"31: (internet), no pega bien la señal dentro de todas las ubicaciones dentro del edificio de ingeniera ----","31: (internet), no pega bien la señal dentro de todas las ubicaciones dentro del edificio de ingeniera ----","['internet', 'pega', 'bien', 'señal', 'dentro', 'todas', 'ubicaciones', 'dentro', 'edificio', 'ingeniera']","['internet', 'pegar', 'señal', 'ubicación', 'edificio', 'ingenierar']",Positivo,78.12%,3,wifi
SEDE 1,FACULTAD 3,LICENCIATURA 08,A cierta horas es dificil encontrar acceso o espacio en salones de estudio.,A cierta horas es dificil encontrar acceso o espacio en salones de estudio.,"['cierta', 'horas', 'dificil', 'encontrar', 'acceso', 'espacio', 'salones', 'estudio']","['hora', 'dificil', 'encontrar', 'acceso', 'espacio', 'salón', 'estudio']",Positivo,35.40%,6,estudio
SEDE 1,FACULTAD 3,LICENCIATURA 11,"A los aulas de clases del ----, ponerle cortinas porque da mucho el sol y no permite visualizar bien los tableros, etc.","A los aulas de clases del ----, ponerle cortinas porque da mucho el sol y no permite visualizar bien los tableros, etc.","['aulas', 'clases', 'ponerle', 'cortinas', 'sol', 'permite', 'visualizar', 'bien', 'tableros', 'etc']","['aula', 'clase', 'poner él', 'cortina', 'sol', 'permitir', 'visualizar', 'tablero', 'etc']",Positivo,82.48%,4,
